"Product Group","Status","Compliance","Interface","Number of Lines","Direction","C Max (pF)","V(BR) Min (V)","VRWM Max (V)","IR Max (µA)","PPK Max (W)","Package Size (mm)","Package Type","MSL Type","MSL Temp (°C)","Reference Price",
"ESD8704MUTAG","Active","H Pb   ","USB 3.1, ","4, ","Unidirectional, ","0.5, ","5, ","3.3, ","1, ","-, ","2.50 x 1.00 x 0.50, ","UDFN-10 ","1 ","260 ","0.0981 ",
"ESD8708MUTAG","Active","H Pb   ","Display Port, Ethernet (10/100, Gigabit), V-by-One HS, ","8, ","Unidirectional, ","0.5, ","4, ","3.3, ","1, ","44, ","5.50 x 1.50 x 0.50, ","UDFN-14 ","1 ","260 ","0.2296 ",
"ESD9101P2T5G","Active","H Pb   ","HDMI 2.0, ","1, ","Unidirectional, ","0.5, ","5.3, ","5, ","1, ","-, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.0439 ",
"SZESD9101P2T5G","Active","H Pb A P ","HDMI 2.0, ","1, ","Unidirectional, ","0.5, ","5.3, ","5, ","1, ","-, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.0577 ",
"ESD9B3.3ST5G","Active","H Pb   ","General I/O, ","1, ","Bidirectional, ","15, ","5, ","3.3, ","1, ","0.3, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.0216 ",
"SZESD9B3.3ST5G","Active","H Pb A P ","General I/O, ","1, ","Bidirectional, ","15, ","5, ","3.3, ","1, ","0.3, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.0237 ",
"ESD9B5.0ST5G","Active","H Pb   ","General I/O, ","1, ","Bidirectional, ","15, ","5.8, ","5, ","1, ","0.3, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.0216 ",
"SZESD9B5.0ST5G","Active","H Pb A P ","General I/O, ","1, ","Bidirectional, ","15, ","5.8, ","5, ","1, ","0.3, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.0237 ",
"ESD9C3.3ST5G","Active","H Pb   ","General I/O, ","1, ","Unidirectional, ","13, ","5, ","3.3, ","1, ","0.15, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.0316 ",
"SZESD9C3.3ST5G","Active","H Pb A P ","-, ","-, ","-, ","-, ","-, ","-, ","-, ","-, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.0513 ",
"ESD9C5.0ST5G","Active","H Pb   ","General I/O, ","1, ","Unidirectional, ","6.2, ","11, ","5, ","0.5, ","0.15, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.0361 ",
"ESD9L5.0ST5G","Active","H Pb   ","USB 2.0, ","1, ","Unidirectional, ","0.9, ","5.4, ","5, ","1, ","0.15, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.0403 ",
"SESD9L5.0ST5G","Active","H Pb A P ","USB 2.0, ","-, ","-, ","-, ","-, ","-, ","-, ","-, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.0447 ",
"ESD9L3.3ST5G","Active","H Pb   ","USB 2.0, ","1, ","Unidirectional, ","0.9, ","4.8, ","3.3, ","1, ","0.15, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.0403 ",
"ESD9M5.0ST5G","Active","H Pb   ","USB 2.0, ","1, ","Unidirectional, ","2.5, ","5.8, ","5, ","1, ","0.15, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.046 ",
"SZESD9M5.0ST5G","Active","H Pb A P ","USB 2.0, ","1, ","Unidirectional, ","2.5, ","5.8, ","5, ","1, ","0.15, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.044 ",
"ESD9P5.0ST5G","Active","H Pb   ","USB 2.0, ","1, ","Unidirectional, ","1.3, ","5.8, ","5, ","1, ","0.15, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.052 ",
"ESD9R3.3ST5G","Active","H Pb   ","USB 2.0, ","1, ","Unidirectional, ","0.9, ","4.8, ","3.3, ","0.001, ","0.15, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.2208 ",
"SZESD9R3.3ST5G","Active","H Pb A P ","USB 2.0, ","1, ","Unidirectional, ","0.9, ","4.8, ","3.3, ","0.001, ","0.15, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.176 ",
"SZESD9X12ST5G","Active","H Pb A P ","General I/O, ","1, ","Unidirectional, ","30, ","13.5, ","12, ","1, ","140, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.0903 ",
"ESD9X7.0ST5G","Active","H Pb   ","General I/O, ","1, ","Unidirectional, ","65, ","7.5, ","7, ","0.1, ","100, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.0236 ",
"SZESD9X3.3ST5G","Active","H Pb A P ","General I/O, ","1, ","Unidirectional, ","80, ","5, ","3.3, ","2.5, ","102, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.1467 ",
"ESD9X3.3ST5G","Active","H Pb   ","General I/O, ","1, ","Unidirectional, ","80, ","5, ","3.3, ","2.5, ","102, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.0283 ",
"ESD9X12ST5G","Active","H Pb   ","General I/O, ","1, ","Unidirectional, ","30, ","13.5, ","12, ","1, ","140, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.0248 ",
"SZESD9X5.0ST5G","Active","H Pb A P ","General I/O, Thunderbolt, USB 2.0, ","1, ","Unidirectional, ","65, ","6.2, ","5, ","1, ","107, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.0903 ",
"ESD9X5.0ST5G","Active","H Pb   ","General I/O, Thunderbolt, USB 2.0, ","1, ","Unidirectional, ","65, ","6.2, ","5, ","1, ","107, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.016 ",
